status,zxloanbalanceamt,zxcrecardacctnowtotaldelqamt,zxrcy3mcrecardquerycnt,zxissubankcnt,zxcreditcarddelqstatus24months,zxaccountcnt,zxcrecardnowshouldpayamt,zxcreditcarddelqstatus30dayyues,zxrcy6mavgusecreditamt,zxrcy6mcrecardquerycompanycnt,zxusecreditamt,zxfirstcrecarddate,zxcrecardusecreditrate,zxcreditbal,zxcreditcarddelqstatus60to90days,zxcreditcarddelqstatus30to60days,zxrcy6mcrecardquerycnt,zxcreditcarddelqstatus6to12month,zxcreditcarddelqstatus90to180day,zxcreditcardaccudelqcnt,zxrcy24mcrecardmaxdelqperiod,zxrcy12mcrecardmaxdelqperiod,zxrcy6mcrecardmaxdelqperiod,zxrcyquerydate
0,67006,0,1,12,N,43,28230,N,148742,1,144144,37872,0.4752,144144,N,N,1,1,N,4,1,1,0,43290.52759
0,373743,0,0,12,N,28,35039,N,185990,1,98274,38233,0.4226,98274,N,N,1,N,N,0,0,0,0,43216.53306
0,130000,0,0,4,N,26,1986,N,13477,0,7039,38853,0.1254,7039,N,N,0,N,N,2,0,0,0,43462.63807
0,306342,0,7,11,N,32,51063,N,73679,6,77754,37872,0.2155,77754,N,N,10,N,N,0,0,0,0,43433.02949
0,125030,0,1,12,N,29,34158,N,369667,3,392603,39461,1.0493,392603,N,N,4,N,N,0,0,0,0,43191.03517
0,37683,0,0,12,N,24,49837,N,437498,4,432233,38624,0.6368,432233,N,N,5,N,1,7,1,1,1,43270.44929
1,58000,0,4,5,N,12,11590,N,67223,5,63624,38551,0.4137,63624,N,N,5,N,N,4,0,0,0,43209.76043
0,165880,0,0,13,N,18,44476,N,233177,0,272494,40022,0.5798,272494,N,N,0,N,N,1,0,0,0,43161.46324
0,172664,0,0,3,N,6,11595,N,98401,0,103102,39062,0.8557,103102,N,1,0,N,1,4,1,1,1,43216.40889
0,162000,0,0,4,N,8,39140,N,251003,1,251537,39139,0.8097,251537,N,N,2,N,N,0,0,0,0,43148.01718
1,-9999,0,0,2,1,4,156,N,687,0,27,38786,0.0625,27,N,N,0,1,*,5,1,1,0,43161.63668
0,467979,0,7,2,N,7,0,N,25,6,50,41047,0.0005,50,*,*,7,N,*,0,0,0,0,43345.29962
0,7347,0,2,5,N,9,5368,N,41746,2,53428,40653,0.3139,53428,N,N,2,N,N,3,0,0,0,43229.19571
0,5000,0,0,1,1,1,0,*,16,0,0,41928,0.032,0,N,N,0,N,*,3,1,0,0,43230.0827
0,2700505,0,0,1,-9999,1,0,-9999,0,1,0,43339,0,0,-9999,-9999,1,-9999,-9999,0,0,0,0,43511.3267
0,342017,0,3,9,N,17,38661,N,183964,3,137660,39908,0.9379,137660,N,N,3,N,N,0,0,0,0,43173.40929
0,877775,0,1,12,1,26,113047,N,663708,8,812651,39385,0.6188,812651,N,N,8,N,N,4,1,0,0,43276.62045
1,4810,0,3,5,1,17,4984,N,36114,6,52642,38967,0.8128,52642,N,N,6,1,N,4,1,1,0,43224.59605
0,4054485,0,1,10,1,21,37970,N,114304,1,203766,40864,0.2,203766,N,N,1,N,N,2,1,0,0,43294.97963
0,208917,0,0,4,N,6,2411,N,21921,3,38744,40976,0.3105,38744,N,N,3,N,N,0,0,0,0,43261.36454
0,39517,0,0,4,N,16,5932,N,13859,3,16198,38649,0.3013,16198,N,N,3,*,N,0,0,0,0,43473.90045
0,12116,0,0,5,1,16,14355,N,97945,0,99462,38681,0.8587,99462,N,N,0,1,N,3,1,1,0,43214.74954
0,47286,0,1,8,N,9,6715,N,44344,3,53653,37705,0.2334,53653,N,N,5,N,N,3,0,0,0,43147.06924
0,5795,0,0,2,N,2,3460,N,5349,0,7320,38959,0.2399,7320,N,N,0,N,N,5,0,0,0,43225.10247
0,169111,0,0,5,N,12,20746,N,143115,0,165512,38300,0.5223,165512,N,N,0,N,N,3,0,0,0,43192.49782
0,162079,0,1,7,N,15,18834,N,269886,1,281597,40352,0.8791,281597,N,N,1,N,N,0,0,0,0,43146.34506
0,827375,0,8,5,N,25,163561,N,390639,8,365444,41634,0.9085,365444,N,N,9,N,N,0,0,0,0,43171.32116
0,37206,0,0,5,1,11,15284,N,133985,0,135156,39536,0.9677,135156,N,N,0,N,1,5,1,1,1,43245.0549
0,1630218,0,4,12,C,22,24545,N,144151,10,133339,38813,0.3801,133339,N,N,10,C,1,1,1,1,1,43229.37002
0,69534,0,0,4,N,6,2510,N,19664,0,19762,38335,0.7681,19762,N,N,0,N,N,1,0,0,0,43472.93009
0,49599,0,2,7,1,14,29422,N,239048,2,270810,39752,0.9004,270810,N,N,2,N,N,3,1,0,0,43178.61632
0,116713,0,0,2,N,3,6864,N,60705,0,64174,39182,0.9059,64174,N,N,0,N,N,1,0,0,0,43213.36433
0,166062,0,0,2,N,4,16694,N,151812,0,188082,40599,0.6273,188082,N,N,0,N,N,0,0,0,0,43460.50411
0,503445,0,0,7,N,27,19923,N,173086,3,166013,39879,0.8865,166013,N,N,3,N,N,0,0,0,0,43172.80119
0,16150,0,5,5,N,6,4706,N,21936,5,28357,39849,0.362,28357,N,N,5,N,1,1,1,1,1,43192.74366
0,166550,0,9,3,N,5,7054,N,53593,9,56889,41255,0.8427,56889,N,N,9,N,N,0,0,0,0,43511.71353
0,1799,0,1,7,1,10,6672,N,73838,1,79284,41563,0.8114,79284,N,N,1,1,N,7,1,1,0,43286.36229
0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,86057,0,0,4,N,15,10798,N,76172,0,60345,40571,0.8857,60345,N,N,0,N,N,0,0,0,0,43368.58081
0,584803,0,1,3,1,6,8317,N,112955,2,117867,40484,0.75,117867,N,N,2,1,N,3,1,1,0,43224.02078
0,38000,0,0,6,N,12,508,N,2305,0,1127,39416,0.0183,1127,N,N,0,N,N,3,0,0,0,43462.60927
0,101111,0,1,3,N,4,21643,N,94721,1,90601,41005,1.0536,90601,N,N,1,1,N,4,1,1,0,43333.03457
0,56822,0,9,14,N,18,17672,N,106459,9,132295,39370,0.3676,132295,N,N,10,N,N,0,0,0,0,43160.00647
0,206715,0,1,4,N,14,11331,N,78019,5,81933,39821,0.451,81933,N,N,5,1,N,2,1,1,0,43494.05635
0,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,43503.87412
0,97000,0,0,6,N,9,6454,N,36348,1,25697,41610,0.3396,25697,N,1,1,1,N,5,1,1,1,43243.99848
0,7352,0,1,3,/,13,832,N,9463,6,10858,42895,0.8603,10858,N,N,7,N,N,0,0,0,0,43185.17837
0,-9999,0,0,-9999,-9999,-9999,0,-9999,-9999,0,-9999,42732,-9999,0,-9999,-9999,0,-9999,-9999,0,0,0,0,43273.55983
0,-9999,0,0,2,N,2,1771,N,4952,0,1835,42173,0.9902,1835,N,N,0,N,N,0,0,0,0,43319.68781
0,45833,0,1,3,N,10,14872,N,21836,1,17786,41060,0.0674,17786,N,N,1,1,N,1,1,1,0,43389.56699
1,1513852,0,0,5,N,7,9822,N,94604,0,115768,41740,0.7819,115768,N,N,0,N,N,0,0,0,0,43217.00122
0,47606,0,1,6,N,14,5592,N,47095,1,47126,39428,0.598,47126,N,N,1,N,N,0,0,0,0,43240.03392
0,238918,0,5,7,N,33,40180,N,297015,5,318536,38125,0.8729,318536,N,N,7,N,N,0,0,0,0,43215.33466
0,770000,0,0,5,N,13,43264,N,349216,1,459812,38146,0.5578,459812,N,N,1,N,N,2,0,0,0,43500.34435
1,1674838,0,0,9,*,12,8840,N,40400,0,40244,39689,0.1397,40244,N,N,0,N,N,1,0,0,0,43290.4856
0,123000,0,0,4,1,7,25072,N,261735,0,260129,39077,0.8711,260129,N,N,0,N,N,4,1,0,0,43229.33426
0,37911,0,0,10,N,19,19849,N,300399,0,287518,39028,0.913,287518,N,N,0,N,N,0,0,0,0,43170.50029
0,9597,0,0,-9999,-9999,-9999,0,-9999,-9999,0,-9999,39234,-9999,0,-9999,-9999,0,-9999,-9999,0,0,0,0,43178.66478
0,61627,0,1,4,1,7,8004,N,73383,2,96526,41074,0.6786,96526,1,N,2,N,N,5,1,1,1,43258.00795
0,-9999,0,2,1,*,1,0,*,0,2,0,39671,0,0,*,*,2,*,*,2,0,0,0,43161.65938
0,60370,0,1,4,N,8,21542,N,41003,2,39059,42277,0.5174,39059,N,N,2,N,N,0,0,0,0,43404.50946
0,359503,0,1,8,N,10,21319,N,203764,1,195871,41955,0.9477,195871,N,N,1,N,N,0,0,0,0,43171.65042
0,1531471,0,0,8,1,16,25209,N,243610,0,243814,40097,0.4954,243814,N,N,0,N,N,2,1,0,0,43215.3461
0,21710,0,0,3,1,5,9008,N,57666,0,75632,41240,1.1396,75632,N,1,0,1,1,6,1,1,1,43195.59628
0,-9999,0,2,5,N,9,1274,N,6544,3,130,38915,0.1983,130,*,N,3,N,*,0,0,0,0,43166.41888
0,2792733,0,0,2,/,4,1000,N,4626,2,9167,41393,0.185,9167,N,N,2,/,N,0,0,0,0,43265.49207
1,11710392,0,1,2,N,3,253824,N,277687,1,354363,37830,0.7497,354363,N,N,1,N,N,5,0,0,0,43175.00455
0,5000,0,0,4,N,7,4877,N,29006,0,39700,38642,0.4561,39700,N,N,0,N,N,1,0,0,0,43166.1041
1,11725,0,0,-9999,-9999,-9999,0,-9999,-9999,0,-9999,39773,-9999,0,-9999,-9999,0,-9999,-9999,0,0,0,0,43168.89808
0,750,0,7,11,N,17,8895,N,64883,6,44530,38350,0.2579,44530,1,N,7,N,N,3,1,1,1,43184.33435
0,-9999,0,8,8,N,12,5868,N,83863,8,93600,40401,0.6946,93600,N,N,9,N,N,5,0,0,0,43216.43389
0,56258,0,0,1,-9999,1,0,-9999,0,0,0,41298,0,0,-9999,-9999,0,-9999,-9999,0,0,0,0,43245.04198
0,98308,0,0,3,1,6,4382,N,30197,2,25061,41911,0.7365,25061,N,N,2,N,N,3,1,0,0,43158.77802
0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,29300,0,0,9,N,13,14650,N,127545,0,115107,40269,0.596,115107,N,N,0,N,N,0,0,0,0,43229.02949
0,5400,0,0,2,1,2,0,*,356,0,0,39342,0.0142,0,*,*,0,N,N,1,1,0,0,43177.06799
0,103763,0,0,3,N,5,9034,N,78244,0,69556,40436,0.7626,69556,N,N,0,N,N,6,0,0,0,43165.42466
0,-9999,0,0,5,1,6,2828,N,33382,0,32217,40368,1.024,32217,N,1,0,N,N,4,1,1,1,43171.79836
0,76035,0,1,3,N,4,11074,N,64901,1,74634,40910,1.18,74634,N,N,1,N,N,1,0,0,0,43211.09713
0,36076,0,1,8,1,11,19389,N,199841,1,196805,39952,1.0309,196805,N,N,1,1,N,2,1,1,0,43215.68678
1,22400,0,0,4,N,6,5525,N,69396,0,47061,41089,1.0014,47061,N,N,0,N,1,4,1,1,1,43186.59293
0,-9999,0,0,3,2,6,544,N,9289,0,8925,40158,0.8445,8925,N,N,0,N,1,4,2,1,1,43260.00196
1,25913,0,0,2,N,3,5643,N,36138,0,42649,41611,0.8604,42649,N,N,0,N,N,2,0,0,0,43210.43289
0,0,0,0,7,N,20,10307,N,136314,6,155524,39681,0.699,155524,N,N,6,N,N,0,0,0,0,43378.07867
1,-9999,0,0,2,N,3,258,N,6219,1,3397,41820,0.1517,3397,N,N,1,N,N,4,0,0,0,43179.64525
1,27636,0,0,2,N,19,1310,N,14707,0,14612,42423,0.9805,14612,N,N,0,N,N,0,0,0,0,43185.65361
1,15517,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,43311.06838
0,-9999,0,0,3,N,7,9319,N,67778,2,79070,39818,1.0758,79070,1,N,3,1,N,7,1,1,1,43293.72516
0,554066,0,0,5,N,7,10707,N,80510,0,89156,39544,0.7924,89156,N,N,0,N,N,1,0,0,0,43382.26255
0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,-9999,0,0,3,2,7,0,*,826,0,0,39418,0.0516,0,*,*,0,4,N,2,4,4,0,43347.06581
0,840989,0,0,3,N,6,24717,N,106597,0,129450,40436,0.7747,129450,N,N,0,N,N,0,0,0,0,43354.48638
0,135326,0,0,5,N,11,15016,N,73598,0,144578,39353,0.2886,144578,N,N,0,N,N,7,0,0,0,43338.842
0,33100,1489,0,9,N,19,37064,1,183387,1,261932,38742,0.3784,261932,N,N,1,N,N,1,1,1,1,43292.34586
0,12300,0,0,3,-9999,3,0,-9999,0,2,0,39043,0,0,-9999,-9999,2,-9999,-9999,0,0,0,0,43347.07525
0,58296,0,0,11,N,15,20244,N,185796,1,171461,40314,1.1092,171461,N,N,1,N,N,0,0,0,0,43171.31872
0,32906,0,0,6,N,15,12025,N,67540,1,74750,42272,0.8443,74750,N,N,1,1,1,3,1,1,1,43224.27047
0,3500,0,0,2,*,4,5193,N,5255,0,5061,40786,0.0945,5061,N,N,0,N,N,2,0,0,0,43252.03762
0,-9999,0,0,2,*,2,0,*,0,0,0,41753,0,0,*,*,0,*,*,0,0,0,0,43228.33615
